ID,Meal,Nutrient,Amount,Date
H39,Breakfast,Protein,26.9,2024-01-01
H39,Lunch,Protein,29.6,2024-01-02
H23,Dinner,Protein,25.8,2024-01-03
H24,Dinner,Calcium,330.3,2024-01-04
H2,Lunch,Calcium,343.9,2024-01-05
H44,Breakfast,Iron,3.0,2024-01-06
H27,Dinner,Protein,23.7,2024-01-07
H16,Dinner,Calcium,277.7,2024-01-08
H47,Lunch,Protein,25.4,2024-01-09
H3,Breakfast,Protein,24.9,2024-01-10
H7,Breakfast,Iron,2.3,2024-01-11
H20,Dinner,Vitamin_D,10.7,2024-01-12
H7,Breakfast,Vitamin_D,11.8,2024-01-13
H2,Lunch,Calcium,263.4,2024-01-14
H42,Lunch,Iron,2.7,2024-01-15
H8,Lunch,Protein,25.5,2024-01-16
H40,Breakfast,Vitamin_D,11.3,2024-01-17
H24,Lunch,Iron,3.0,2024-01-18
H45,Breakfast,Iron,2.7,2024-01-19
H35,Dinner,Iron,2.8,2024-01-20
H5,Lunch,Protein,27.0,2024-01-21
H9,Lunch,Iron,2.6,2024-01-22
H48,Dinner,Protein,28.6,2024-01-23
H44,Lunch,Protein,28.7,2024-01-24
H35,Breakfast,Protein,26.1,2024-01-25
H1,Breakfast,Calcium,280.6,2024-01-26
H14,Dinner,Protein,17.1,2024-01-27
H42,Breakfast,Protein,27.5,2024-01-28
H32,Dinner,Iron,2.5,2024-01-29
H30,Breakfast,Protein,19.0,2024-01-30
H39,Breakfast,Protein,22.6,2024-01-31
H32,Dinner,Protein,27.2,2024-02-01
H22,Lunch,Calcium,315.0,2024-02-02
H6,Lunch,Calcium,334.7,2024-02-03
H11,Lunch,Protein,24.1,2024-02-04
H33,Breakfast,Iron,2.7,2024-02-05
H27,Lunch,Iron,2.6,2024-02-06
H39,Lunch,Vitamin_D,11.3,2024-02-07
H27,Breakfast,Calcium,288.1,2024-02-08
H44,Dinner,Protein,24.1,2024-02-09
H32,Breakfast,Vitamin_D,11.3,2024-02-10
H12,Lunch,Protein,24.8,2024-02-11
H2,Dinner,Iron,2.4,2024-02-12
H32,Breakfast,Iron,2.5,2024-02-13
H19,Lunch,Calcium,225.0,2024-02-14
H6,Dinner,Vitamin_D,12.5,2024-02-15
H11,Dinner,Iron,2.3,2024-02-16
H34,Lunch,Calcium,341.5,2024-02-17
H11,Dinner,Vitamin_D,10.6,2024-02-18
H6,Breakfast,Protein,26.1,2024-02-19
H20,Dinner,Vitamin_D,11.0,2024-02-20
H19,Dinner,Vitamin_D,10.6,2024-02-21
H41,Breakfast,Vitamin_D,11.6,2024-02-22
H1,Dinner,Vitamin_D,10.8,2024-02-23
H25,Lunch,Protein,30.6,2024-02-24
H7,Lunch,Vitamin_D,11.4,2024-02-25
H49,Lunch,Iron,2.6,2024-02-26
H9,Breakfast,Protein,27.3,2024-02-27
H19,Dinner,Vitamin_D,11.3,2024-02-28
H24,Dinner,Iron,2.6,2024-02-29
H8,Lunch,Vitamin_D,11.3,2024-03-01
H29,Lunch,Vitamin_D,10.3,2024-03-02
H46,Lunch,Calcium,331.5,2024-03-03
H41,Breakfast,Vitamin_D,12.3,2024-03-04
H33,Lunch,Iron,2.4,2024-03-05
H8,Dinner,Protein,21.7,2024-03-06
H17,Breakfast,Vitamin_D,10.8,2024-03-07
H22,Lunch,Calcium,277.4,2024-03-08
H38,Lunch,Iron,2.8,2024-03-09
H27,Lunch,Iron,2.5,2024-03-10
H30,Breakfast,Vitamin_D,11.9,2024-03-11
H48,Dinner,Vitamin_D,11.4,2024-03-12
H35,Breakfast,Vitamin_D,10.9,2024-03-13
H31,Dinner,Vitamin_D,11.7,2024-03-14
H33,Dinner,Iron,2.8,2024-03-15
H3,Lunch,Iron,2.4,2024-03-16
H42,Dinner,Calcium,318.9,2024-03-17
H24,Lunch,Vitamin_D,12.8,2024-03-18
H47,Lunch,Protein,25.2,2024-03-19
H2,Lunch,Iron,2.2,2024-03-20
H40,Breakfast,Iron,2.2,2024-03-21
H29,Lunch,Protein,29.1,2024-03-22
H26,Dinner,Calcium,315.5,2024-03-23
H45,Breakfast,Vitamin_D,14.9,2024-03-24
H46,Lunch,Vitamin_D,9.4,2024-03-25
H22,Dinner,Iron,3.1,2024-03-26
