ID,Calories,Protein,Date
H1,2525,77.3,2024-01-01
H2,2283,79.6,2024-01-02
H3,2687,,2024-01-03
H4,2565,75.7,2024-01-04
H5,2531,75.1,2024-01-05
H6,2311,69.4,2024-01-06
H7,2366,75.9,2024-01-07
H8,2339,85.3,2024-01-08
H9,2416,90.8,2024-01-09
H10,2509,,2024-01-10
H11,2277,,2024-01-11
H12,2506,75.0,2024-01-12
H13,2406,72.9,2024-01-13
H14,2426,82.1,2024-01-14
H15,2267,91.9,2024-01-15
H16,2629,81.7,2024-01-16
H17,2476,,2024-01-17
H18,2299,70.1,2024-01-18
H19,2381,83.3,2024-01-19
H20,2280,78.7,2024-01-20
H21,2348,,2024-01-21
H22,2542,83.2,2024-01-22
H23,2590,77.0,2024-01-23
H24,2356,79.7,2024-01-24
H25,2596,77.1,2024-01-25
H26,2388,82.1,2024-01-26
H27,2653,72.8,2024-01-27
H28,2439,79.8,2024-01-28
H29,2681,94.9,2024-01-29
H30,2312,78.4,2024-01-30
H31,2405,82.5,2024-01-31
H32,2453,85.4,2024-02-01
H33,2372,76.9,2024-02-02
H34,2386,82.6,2024-02-03
H35,2499,84.9,2024-02-04
H36,2476,74.5,2024-02-05
H37,2401,84.4,2024-02-06
H38,2406,78.0,2024-02-07
H39,2415,76.0,2024-02-08
H40,2407,77.2,2024-02-09
H41,2511,73.3,2024-02-10
H42,2661,68.4,2024-02-11
H43,2446,78.5,2024-02-12
H44,2385,77.0,2024-02-13
H45,2495,79.7,2024-02-14
H46,2449,83.7,2024-02-15
H47,2563,74.0,2024-02-16
H48,2658,80.9,2024-02-17
H49,2779,,2024-02-18
H50,2376,82.6,2024-02-19
